episodes,episode_length,returns,average_reward,round_time,episodes_test,episode_length_test,returns_test,average_reward_test,round_time_test,round_time_total,loss_total,loss_critic,loss_actor,memory_size,reward_mean,reward_std,reward_min,reward_max,reward_corr,value_target_mean,value_target_std,q_value_mean,q_value_std,td_error_mean,td_error_std,learning_rate,gradient_norm_actor,gradient_norm_critic,actor_param_norm_before,actor_param_norm_after,critic_param_norm_before,critic_param_norm_after,actor_grad_var,critic_grad_var,critic_agreement_ratio,entropy_log_probs_mean,entropy_traj_start,entropy_traj_end,entropy_traj_delta,entropy_traj_mean,entropy_traj_std,actor_output_mean,actor_output_std,actor_entropy_first_mean,actor_entropy_first_std,loss_total_delta,critic_disagreement_mean,critic_disagreement_std,critic_disagreement_max,critic_disagreement_min,critic_disagreement_median,critic_disagreement_q25,critic_disagreement_q75,critic_var_top5_mean,model_val_mean,target_val_mean,critic_value_drift,avg_action_change,obs_delay_mean,act_delay_mean,nstep_len_mean,nstep_len_std,is_rtac,iteration_time
0,,,0.0,0 days 00:00:19.789556,0.0,,,4.277701120981122e-10,0 days 00:00:00.291954,0 days 00:00:19.790057,-9.142003721237183,14.371398290514946,-103.19561082458496,7467.53,3.5556420060512907e-05,0.00033872671099571827,0.0,0.005035195894506132,0.5487520773356664,101.5404538116455,3.564376271367073,101.53437114715577,2.950429256081581,-0.006082890093326568,1.7391011912822723,0.0003,0.122593545101583,50.75679565525055,24.03740191579517,24.03740191579517,85.7084435273558,85.7084435273558,2.2486222101747445e-07,0.02817572773923166,0.0,-1.3574040894508361,1.3574865382909775,1.3572743669748306,-0.00021217131614685057,1.3573308109045028,0.005854819182713982,-0.005555191791441757,0.5941501262784005,,,-0.0011955699920654296,0.19505884739011525,0.3707421559840441,2.896359271764755,3.306088026147336e-05,0.08048045055568218,0.01836341909971088,0.23436054397374392,1.4085133777856826,101.18679308319092,99.4907480392456,1.6963928480148316,1.0699339135289192,,,1.3965859375,0.8768061498999595,0.0,0.015250823497772216
0,,,0.0,0 days 00:00:20.266122,0.0,,,6.780061859054816e-23,0 days 00:00:00.261260,0 days 00:00:20.266628,-7.465670590400696,18.199754412055015,-110.12736917114258,8463.53,3.091885646144304e-05,0.00030334593035874073,0.0,0.004582528332179744,0.5620283545431739,108.67392617797852,4.2549623234272005,108.6709398803711,3.548409546136856,-0.0029863249361515047,1.947101473093033,0.0003,0.12816719459742307,54.44005453491211,24.5217473029308,24.5217473029308,89.78590917306393,89.78590917306393,2.456503224266271e-07,0.03286392672540387,0.0,-1.3563021556138992,1.3556124200820923,1.355398351430893,-0.00021406865119934083,1.3556181437969208,0.006230698880099226,-0.005597015264211223,0.5940956169366837,,,-0.0017822513580322266,0.23382996095716954,0.4753688854277134,3.873266042292118,3.914864218677394e-05,0.09399031192809343,0.021549549504648893,0.2766440662890673,1.7693872618675233,108.29269282531739,106.80339132690429,1.4911366674304007,1.0684873035550118,,,1.3943359375,0.8805068769454956,0.0,0.015548088312149048
0,,,2.23708001608582e-252,0 days 00:00:19.827470,1.0,1000.0,3.470003972817166e-19,3.4700039728171657e-22,0 days 00:00:00.282518,0 days 00:00:19.827976,-7.178852374076843,20.27798233413696,-117.0061909790039,9459.53,2.621494445849103e-05,0.0002655981110029032,0.0,0.004093995437272289,0.5591976347096898,115.74521215057374,4.3464893550872805,115.742600151062,3.5911865577697752,-0.0026122637987136843,2.068032803058624,0.0003,0.13439254377782345,60.967636074066164,24.971454681728034,24.971454681728034,94.6672077985853,94.6672077985853,2.684266392378731e-07,0.04055424663732993,0.0,-1.3531940593719483,1.3525401835441588,1.3522955938577652,-0.00024458968639373777,1.3523876550197602,0.006674298740632367,-0.011598211973090656,0.5934976617097855,,,-0.0006749114990234375,0.29117589770257474,0.7111067391782999,6.283051948666572,4.147124255541712e-05,0.10875503085926175,0.02460719545464963,0.3238856256455183,2.489967240691185,115.35086331176758,114.05863705444337,1.2948391234874725,1.0658981295228005,,,1.4017265625,0.8803163062334061,0.0,0.015238965749740601
0,,,2.446e-321,0 days 00:00:19.887970,1.0,1000.0,144.29890185773758,0.14429890185773758,0 days 00:00:00.288360,0 days 00:00:19.888470,-7.539728547096252,21.410967896819116,-123.34251374053954,10455.53,2.4269518479184226e-05,0.00025534731672348035,0.0,0.004018174863973537,0.561852208572207,122.24745727539063,4.443898872375488,122.24326679229736,3.7084734618663786,-0.004190438419580459,2.076180883705616,0.0003,0.1351364952325821,65.57498640155792,25.355120377989486,25.355120377989486,99.22926860774308,99.22926860774308,2.721095500461956e-07,0.04876650790328858,0.0,-1.3529560190439225,1.3517068268060684,1.352371785879135,0.0006649590730667114,1.3520860273838042,0.0066008846599143,-0.0030410467017209157,0.5936545914411545,,,-0.00044365882873535154,0.3183901830613613,0.7330899891257286,6.353947175979615,4.8607711651129645e-05,0.1243428509607911,0.02830190889723599,0.36229441173374655,2.6113316499590873,121.84589559936524,120.72369888305664,1.1298604772090912,1.0643301662802696,,,1.39778125,0.8848101862668991,0.0,0.015242600440979004
0,,,5.1934165365059635e-73,0 days 00:00:19.851201,0.0,,,0.00013044814332493655,0 days 00:00:00.271189,0 days 00:00:19.851702,-4.769707145690918,26.181473165035246,-128.57442838287355,11451.53,2.3855570828094612e-05,0.000255802590184384,0.0,0.004067473161955377,0.5533091671648653,127.63100155639648,4.44646209526062,127.62875331115723,3.5558160526752474,-0.002248025268316269,2.277829425871372,0.0003,0.13464886067807674,80.61647986125946,25.74078247921355,25.74078247921355,102.55593932675943,102.55593932675943,2.695102576382169e-07,0.07074212432833156,0.0,-1.3533359744548799,1.3530901882648467,1.3535831367969513,0.0004929485321044922,1.3532912962436676,0.006502717432682403,-0.0005583868720568716,0.5916836359500885,,,3.643798828125e-05,0.3435984237790108,0.8181403598338366,7.177451897203922,5.129386662156321e-05,0.13513531916588545,0.03148189437482506,0.3873247520774603,2.8798946845531463,127.20294647979736,126.23612117004394,0.996073868393898,1.0578178039391835,,,1.3960703125,0.8852858781814575,0.0,0.015157787322998047
0,,,3.6499563374175814e-41,0 days 00:00:19.932219,1.0,1000.0,0.4305063717965224,0.0004305063717965223,0 days 00:00:00.280226,0 days 00:00:19.932719,-5.353258431434631,26.543244160413742,-132.93926866149903,12447.53,2.129271002331228e-05,0.00023325641989457792,0.0,0.0037293613415825587,0.5542398679238061,132.11145248413087,4.32972521352768,132.10847366333007,3.4528925280570983,-0.002979007601737976,2.294242636501789,0.0003,0.1383429269865155,79.25214636611939,26.18669964873977,26.18669964873977,106.6344012714997,106.6344012714997,2.829998656821431e-07,0.07245719180256129,0.0,-1.3516678270101548,1.3506465637683869,1.3509811316728593,0.0003345679044723511,1.3511261553764344,0.006590417185681872,-0.0074726218709838576,0.5901200442910194,,,-0.0029075946807861327,0.3953146448880434,1.0891403506994248,10.094455448627471,5.986831994960085e-05,0.1446992463991046,0.032811362786218524,0.425018823876977,3.6346747844219207,131.68157679748535,130.83319844818115,0.8887706385850906,1.0557989996671677,,,1.3990234375,0.8877764640450477,0.0,0.01518415379524231
0,,,9.999494972481913e-41,0 days 00:00:19.994418,1.0,1000.0,80.71492529398425,0.08071492529398425,0 days 00:00:00.260200,0 days 00:00:19.994929,-5.948034237861633,26.76586728811264,-136.80364041137696,13443.534,1.9729207373058413e-05,0.0002165814119273484,0.0,0.0034866976459463554,0.5552856125360704,136.06771255493163,4.166341221570969,136.06614256286622,3.2652948174476624,-0.0015696859955787658,2.3050406522750855,0.0003,0.13915684573352338,78.3983936328888,26.56227930171974,26.56227930171974,110.38343054871261,110.38343054871261,2.8727977409204187e-07,0.06911835852463263,0.0,-1.3517003046274185,1.3518587661981583,1.3519633761644363,0.00010460996627807618,1.3518196743726731,0.006477609569439664,-0.007845152473310009,0.5903540924191475,,,0.0001244487762451172,0.40413421058654786,1.0178810367584228,9.136409973740578,7.592788845067844e-05,0.1555160568356514,0.0356035553663969,0.4502954553365707,3.4833660604953764,135.63760498046875,134.88344055175781,0.791448520064354,1.054847234825293,,,1.394765625,0.885183476626873,0.0,0.01517699909210205
0,,,1.9863674890837096e-07,0 days 00:00:20.059891,1.0,1000.0,19.117725722172985,0.019117725722172983,0 days 00:00:00.263480,0 days 00:00:20.060412,-1.005227677345276,33.7738309032917,-140.12146179199217,14439.534,1.767857688344104e-05,0.00019900171457813603,0.0,0.0032416568784220915,0.5668810772301367,139.4911352081299,4.340916243553162,139.48936320495605,3.2300017085075376,-0.0017727834582328796,2.592722429037094,0.0003,0.14078748363256455,89.59593664073944,26.96697753686458,26.96697753686458,114.23229284353182,114.23229284353182,2.9469006404525546e-07,0.08979090153588913,0.0,-1.3493975168466568,1.34962803709507,1.3494938981533051,-0.00013413894176483155,1.349364699959755,0.007048901781614404,-0.011948495313059538,0.5905166934132576,,,0.22857359504699706,0.48654158546030524,1.5941832812726497,15.51948440504074,6.672009034082294e-05,0.16844694275408983,0.03875481481384486,0.4884050338566303,5.011412309765816,139.04367655944824,138.3976891784668,0.7181369276046753,1.0531072841087976,,,1.3929453125,0.8859101786017418,0.0,0.015189829826354981
0,,,1.5420379227345575e-78,0 days 00:00:20.174081,0.0,,,3.7890356328925715e-13,0 days 00:00:00.267435,0 days 00:00:20.174602,-3.490419369697571,31.4019807908535,-143.0600202331543,15435.538,1.5772460215428863e-05,0.00018039490560019356,0.0,0.0029578763321789336,0.555624470037612,142.4829373626709,4.133665182113647,142.47789901733398,3.147729155778885,-0.005038497626781464,2.463865221500397,0.0003,0.13743290062993765,87.44417101287841,27.346691430345178,27.346691430345178,118.15896162081137,118.15896162081137,2.7819862728506453e-07,0.0897721926762024,0.0,-1.3496362338066101,1.3493140552043914,1.3493154946565629,1.4394521713256835e-06,1.349274873495102,0.006920544123277068,-0.006603617227403447,0.5899755710363388,,,-0.2305809211730957,0.5011624303758144,1.5603377047479152,14.472214757919312,6.145769593422301e-05,0.17382196981459855,0.03927417749725282,0.5057433681488037,5.094409443616867,142.05468775939943,141.46332023620604,0.6705491963624954,1.049581957300504,,,1.392109375,0.8868361182212829,0.0,0.015247339725494385
0,,,0.0001318356355161908,0 days 00:00:20.220279,0.0,,,1.6207262648362616e-15,0 days 00:00:00.262989,0 days 00:00:20.220782,-1.995579647064209,33.92529329848289,-145.67907127380371,16431.538,2.2491506736915946e-05,0.0002453474086007725,0.0,0.003958648831665735,0.5407130152566242,145.1948009185791,4.087942631721496,145.1945749053955,2.9981631217002866,-0.00022556990385055542,2.580215504527092,0.0003,0.1418110610321164,92.46179116344452,27.708657789483667,27.708657789483667,121.34487658244372,121.34487658244372,3.0031422911491744e-07,0.09714223916875199,0.0,-1.3498866285085678,1.3497000416517257,1.3494652962684632,-0.00023474538326263427,1.349589730143547,0.006892412082059309,-0.012727954566827975,0.5906018613576889,,,0.0018644447326660156,0.4819678026139736,1.3211225630640984,12.17021519112587,7.593804376665503e-05,0.17573693192750214,0.04014682535920292,0.5147397928535938,4.4303509033918385,144.735932510376,144.2395103149414,0.6229366987347603,1.0538884850740433,,,1.394921875,0.8867428946495056,0.0,0.015223742246627807
